BOS, Boston Bruins
BUF, Buffalo Sabres
DET, Detroit Red Wings
FLA, Florida Panthers
MTL, Montreal Canadiens
OTT, Ottawa Senators
TBL, Tampa Bay Lightning
TOR, Toronto Maple Leafs
CAR, Carolina Hurricanes
CBJ, Columbus Blue Jackets
NJD, New Jersey Devils
NYI, New York Islanders
NYR, New York Rangers
PHI, Philadelphia Flyers
PIT, Pittsburgh Penguins
WSH, Washington Capitals
ARI, Arizona Coyotes
CHI, Chicago Blackhawks
COL, Colorado Avalanche
DAL, Dallas Stars
MIN, Minnesota Wild
NSH, Nashville Predators
STL, St. Louis Blues
WPG, Winnipeg Jets
ANA, Anaheim Ducks
CGY, Calgary Flames
EDM, Edmonton Oilers
LAK, Los Angeles Kings
SJS, San Jose Sharks
SEA, Seattle Kraken
VAN, Vancouver Canucks
VGK, Vegas Golden Knights
